"(Tính trên 100g thực phẩm ăn được)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"STT","TÊN THỨC ĂN","Calories","Protein","Fat","Carbonhydrates","Chất xơ","Cholesterol","Canxi","Photpho","Sắt","Natri","Kali","Beta Caroten","Vitamin A","Vitamin B1","Vitamin C"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","kcal","g","g","g","g","mg","mg","mg","mg","mg","mg","mcg","mcg","mg","mg"
"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Ngũ cốc và sản phẩm chế biến từ chúng","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"19","Cùi dừa già","368","4,8","36,0","6,2","4,2","0","30","154,0","2,0","7","555","0","0,0","0,10","2,0"
"20","Cùi dừa non","40","3,5","1,7","2,6","3,5","0","4","53,0","1,0","0","0","0","0,0","0,04","6,0"
"21","Đậu đen (hạt)","325","24,2","1,7","53,3","4,0","0","56","354,0","6,1","0","0","30","0,0","0,50","3,0"
"22","Đậu Hà lan (hạt)","342","22,2","1,4","60,1","6,0","0","57","303,0","4,4","9","135","70","0,0","0,77","0,0"
"23","Đậu xanh","328","23,4","2,4","53,1","4,7","0","64","377,0","4,8","6","1132","30","0,0","0,72","4,0"
"24","Hạt điều","605","18,4","46,3","28,7","0,6","0","28","462,0","3,6","0","0","5","0,0","0,25","1,0"
"25","Đậu phộng","573","27,5","44,5","15,5","2,5","0","68","420,0","2,2","4","421","10","0,0","0,44","0,0"
"26","Mè","568","20,1","46,4","17,6","3,5","0","1200","379,0","10,0","49","508","15","0,0","0,30","0,0"
"27","Đậu phụ","95","10,9","5,4","0,7","0,4","0","24","85,0","2,2","0","0","0","0,0","0,03","0,0"
"THỊT VÀ SẢN PHẨM CHẾ BIẾN","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"28","Thịt bê nạc","85","20,0","0,5","0,0","0,0","0","8","176,0","1,7","0","0","0","30,0","0,23","2,0"
"29","Thịt bò","118","21,0","3,8","0,0","0,0","59","12","226,0","3,1","83","378","0","12,0","0,10","1,0"
"30","Thịt mông chó","338","16,0","30,4","0,0","0,0","0","16","43,0","1,0","0","0","0","0,0","0,04","0,0"
"31","Thịt vai chó","230","18,0","17,6","0,0","0,0","0","20","36,0","0,7","0","0","0","0,0","0,04","0,0"
"32","Thịt dê nạc","122","20,7","4,3","0,0","0,0","0","11","129,0","2,0","0","0","0","91,0","0,07","1,0"
"33","Thịt gà ta","199","20,3","13,1","0,0","0,0","0","12","200,0","1,5","0","0","0","120,0","0,15","4,0"
"34","Thịt heo mỡ","394","14,5","37,3","0,0","0,0","0","8","156,0","0,4","0","0","0","0,0","0,00","0,0"
"35","Thịt heo nạc","139","19,0","7,0","0,0","0,0","0","7","190,0","1,0","0","0","0","0,0","0,90","0,0"
"36","Thịt heo ba chỉ","260","16,5","21,5","0,0","0,0","0","9","178,0","1,5","0","0","0","10,0","0,53","2,0"
"37","Thịt thỏ","158","21,5","8,0","0,0","0,0","65","21","224,0","1,6","0","0","0","0,0","0,08","0,0"
"38","Thịt vịt","267","17,8","21,8","0,0","0,0","76","13","145,0","1,8","0","0","0","270,0","0,07","0,0"
"39","Cật bò","67","12,5","1,8","0,3","0,0","0","9","219,0","7,1","200","0","0","330,0","0,40","6,0"
"40","Cật heo","81","13,0","3,1","0,3","0,0","375","8","223,0","8,0","0","390","0","150,0","0,38","5,0"
"41","Da heo","118","23,3","2,7","0,0","0,0","0","11","8,0","0,4","0","0","0","0,0","0,29","0,0"
"42","Giòheo bỏ xương","230","15,7","18,6","0,0","0,0","60","24","106,0","2,1","0","0","0","30,0","0,01","0,0"
"43","Bao tử bò","97","14,8","4,2","0,0","0,0","95","150","85,0","0,9","0","0","0","0,0","0,04","0,0"
"44","Bao tử heo","85","14,6","2,9","0,0","0,0","0","8","144,0","1,4","0","0","0","0,0","0,05","0,0"
"45","Đầu heo","335","13,4","31,3","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"46","Đuôi bò","137","19,7","6,5","0,0","0,0","0","7","162,0","2,5","0","0","0","0,0","0,03","0,0"
"47","Đuôi heo","467","10,8","47,1","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"48","Gan bò","110","17,4","3,1","3,0","0,0","0","5","340,0","9,0","110","213","0","5000","0,40","30,0"
"49","Gan gà","111","18,2","3,4","2,0","0,0","440","21","260,0","8,2","0","335","0","6960","0,38","7,0"
"50","Gan heo","116","18,8","3,6","2,0","0,0","320","7","353,0","12,0","110","447","0","6000","0,40","18,0"
"51","Gan vịt","122","17,1","4,7","2,8","0,0","0","17","177,0","4,8","0","0","0","2960","0,44","7,0"
"52","Gân chân bò","124","30,2","0,3","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"53","Lưỡi bò","164","13,6","12,1","0,2","0,0","108","7","162,0","3,0","0","0","0","0,0","0,07","3,0"
"54","Lưỡi heo","178","14,2","12,8","1,4","0,0","0","7","118,0","2,4","0","0","0","0,0","0,08","0,0"
"55","Lòngheo (ruột già)","167","6,9","15,1","0,8","0,0","0","12","55,0","0,5","0","0","0","0,0","0,09","0,0"
"56","Phèo heo","44","7,2","1,3","0,8","0,0","0","7","48,0","0,8","0","0","0","0,0","0,09","0,0"
"57","Mề gà","99","21,3","1,3","0,6","0,0","0","48","150,0","6,6","0","0","0","0,0","0,04","0,0"
"58","Óc bò","124","9,0","9,5","0,5","0,0","0","6","311,0","0,9","0","0","0","0,0","0,13","0,0"
"59","Óc heo","123","9,0","9,5","0,4","0,0","0","7","311,0","1,6","0","0","0","0,0","0,14","0,0"
"60","Sườn heo bỏ xương","187","17,9","12,8","0,0","0,0","66","7","160,0","0,6","0","0","0","0,0","0,96","0,0"
"61","Tai heo","121","21,0","4,1","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"62","Tim bò","89","15,0","3,0","0,6","0,0","0","5","185,0","5,4","0","0","0","6,0","0,31","7,0"
"63","Tim gà","114","16,0","5,5","0,0","0,0","0","21","185,0","5,3","0","0","0","0,0","0,00","0,0"
"64","Tim heo","89","15,1","3,2","0,0","0,0","140","7","213,0","5,9","0","0","0","8,0","0,34","1,0"
"65","Huyết bò","75","18,0","0,2","0,4","0,0","0","8","31,0","52,6","0","0","0","30,0","0,09","0,0"
"66","Huyết heo luộc","44","10,7","0,1","0,0","0,0","0","7","12,0","25,9","0","0","0","93,0","0,00","0,0"
"67","Huyết heo sống","25","5,7","0,1","0,2","0,0","0","7","7,0","20,4","0","0","0","25,8","0,00","0,0"
"68","Pa-tê","326","10,8","24,6","15,4","0,0","0","26","88,0","4,2","0","0","0","0,0","0,00","0,0"
"69","Chả quế","416","16,2","39,0","0,0","0,0","0","16","44,8","2,1","0","0","0","0,0","0,00","0,0"
"70","Dăm bông heo","318","23,0","25,0","0,3","0,0","70","10","110,0","2,1","0","0","0","0,0","0,40","0,0"
"71","Chả bò","357","13,8","33,5","0,0","0,0","0","18","12,2","3,2","0","0","0","0,0","0,00","0,0"
"72","Chả lụa","136","21,5","5,5","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"73","Giò thủ","553","16,0","54,3","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"74","Lạp xưởng","585","20,8","55,0","1,7","0,0","0","52","175,0","3,0","0","0","0","0,0","0,46","0,,0"
"75","Nem chua","137","21,7","3,7","4,3","0,0","0","24","78,0","0,0","0","0","0","0,0","0,00","0,,0"
"76","Chà bông","396","46,6","20,3","0,0","0,0","0","29","15,5","0,3","0","0","0","0,0","0,00","0,0"
"77","Thịt bò khô","239","51,0","1,6","5,2","0,0","0","31","476,0","8,1","0","0","0","0,0","0,13","0,0"
"78","Xúc xích","535","27,2","47,4","0,0","0,0","0","7","139,0","1,9","0","0","0","0,0","0,34","0,0"
"79","Ếch","90","20,0","1,1","0,0","0,0","0","22","159,0","1,3","0","0","0","5,0","0,04","0,0"
"80","Nhộng","111","13,0","6,5","0,0","0,0","0","40","109,0","0,0","0","0","0","0,0","0,00","0,0"
"THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"81","Cá bống","70","15,8","0,8","0,0","0,0","0","17","181,0","0,9","0","0","0","0,0","0,02","0,0"
"82","Cá chép","96","16,0","3,6","0,0","0,0","70","17","184,0","0,9","0","397","0","181,0","0,02","0,0"
"83","Cá đối","108","19,5","3,3","0,0","0,0","0","21","224,0","1,0","0","0","0","45,0","0,07","0,0"
"84","Cá hồi","136","22,0","5,3","0,0","0,0","0","13","230,0","1,1","0","0","0","30,0","0,22","0,0"
"85","Cá khô","208","43,3","3,9","0,0","0,0","0","120","95,0","0,9","0","0","0","0,0","0,08","0,0"
"86","Cá mè","144","15,4","9,1","0,0","0,0","0","157","215,0","0,0","0","0","0","0,0","0,00","0,0"
"87","Cá mòi","124","17,5","6,0","0,0","0,0","0","80","240,0","3,0","0","0","0","20,0","0,02","0,0"
"88","Cá mỡ","151","16,8","9,3","0,0","0,0","0","42","173,0","1,4","0","0","0","30,0","0,08","0,0"
"89","Cá nạc","80","17,5","1,1","0,0","0,0","0","42","173,0","1,4","0","0","0","0,0","0,06","0,0"
"90","Cá ngừ","87","21,0","0,3","0,0","0,0","0","44","206,0","1,0","78","518","0","5,0","0,02","0,0"
"91","Cá nục","111","20,2","3,3","0,0","0,0","0","85","160,0","0,0","0","0","0","0,0","0,00","0,0"
"92","Cá phèn","104","15,9","4,5","0,0","0,0","0","40","50,0","0,0","0","0","0","0,0","0,00","0,0"
"93","Cá lóc","97","18,2","2,7","0,0","0,0","0","90","240,0","0,0","0","0","0","0,0","0,04","0,0"
"94","Cá rô đồng","126","19,1","5,5","0,0","0,0","0","26","151,2","0,3","0","0","0","0,0","0,00","0,0"
"95","Cá rô phi","100","19,7","2,3","0,0","0,0","0","50","147,5","0,5","0","0","0","0,0","0,00","0,0"
"96","Cá thu","166","18,2","10,3","0,0","0,0","0","50","90,0","1,3","110","486","0","10,0","0,07","0,0"
"97","Cá trê","173","16,5","11,9","0,0","0,0","0","20","210,0","1,0","0","0","0","93,3","0,10","0,0"
"98","Cua biển","103","17,5","0,6","7,0","0,0","0","141","191,0","3,8","316","322","0","35,8","0,03","0,0"
"99","Cua đồng","87","12,3","3,3","2,0","0,0","0","5040","430,0","4,7","0","0","0","0,0","0,01","0,0"
"100","Ghẹ","54","11,9","0,7","0,0","0,0","0","40","125,0","0,0","0","0","0","0,0","0,00","0,0"
"101","Hải sâm","90","21,5","0,3","0,2","0,0","0","118","22,0","1,4","0","0","0","102,0","0,01","0,0"
"102","Hến","45","4,5","0,7","5,1","0,0","0","144","86,0","1,6","0","0","0","0,0","0,00","0,0"
"103","Lươn","94","20,0","1,5","0,0","0,0","0","35","164,0","1,0","0","0","0","1800","0,15","0,0"
"104","Mực khô","291","60,1","4,5","2,5","0,0","0","27","287,0","5,6","0","0","0","0,0","0,13","0,0"
"105","Mực tươi","73","16,3","0,9","0,0","0,0","0","14","150,0","0,6","0","273","0","0,0","0,01","0,0"
"106","Ốc bươu","84","11,1","0,7","8,3","0,0","0","1310","64,0","0,0","0","0","0","0,0","0,00","0,0"
"107","Ba khía muối","83","14,2","2,9","0,0","0,0","0","4820","330,0","0,0","0","0","0","0,0","0,00","0,0"
"108","Sò","51","8,8","0,4","3,0","0,0","0","37","82,0","1,9","380","223","0","52,5","0,03","0,0"
"109","Tép gạo","58","11,7","1,2","0,0","0,0","0","910","218,0","0,0","0","0","0","0,0","0,00","0,0"
"110","Tôm biển","82","17,6","0,9","0,9","0,0","0","79","184,0","1,6","0","0","5","20,0","0,04","0,0"
"111","Tôm đồng","90","18,4","1,8","0,0","0,0","200","1120","150,0","2,2","418","316","0","15,0","0,02","0,0"
"112","Tôm khô","347","75,6","3,8","2,5","0,0","0","236","995,0","4,6","0","0","0","0,0","0,16","0,0"
"113","Bánh phồng tôm","676","1,6","59,2","34,1","0,0","0","175","30,0","0,0","0","0","0","0,0","0,00","0,0"
"114","Chà bông cá lóc","312","65,7","4,1","3,0","0,0","0","26","654,0","0,0","0","0","0","0,0","0,00","0,0"
"TRỨNG VÀ SẢN PHẨM CHẾ BIẾN","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"115","Trứng gà","166","14,8","11,6","0,5","0,0","600","55","210,0","2,7","158","176","281","700,0","0,16","0,0"
"116","Lòng đỏ trứng gà","327","13,6","29,8","1,0","0,0","1790","134","532,0","7,0","108","169","578","960,0","0,32","0,0"
"117","Lòng trắng trứng gà","46","10,3","0,1","1,0","0,0","0","19","16,0","0,3","215","172","0","0,0","0,01","0,0"
"118","Trứng vịt","184","13,0","14,2","1,0","0,0","600","71","210,0","3,2","191","258","185","360,0","0,15","0,0"
"119","Lòng đỏ trứng vịt","368","13,6","32,3","4,8","0,0","1790","146","328,0","5,6","0","0","695","1625","0,54","0,0"
"120","Lòng trắng trứngvịt","50","10,7","0,1","0,8","0,0","0","6","8,0","0,0","0","0","0","0,0","0,00","0,0"
"121","Trứng vịt lộn","182","13,6","12,4","4,0","0,0","600","82","212,0","3,0","0","0","435","875,0","0,12","3,0"
"SỮA VÀ SẢN PHẨM CHẾ BIẾN","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"122","Sữa bò tươi","74","3,9","4,4","4,8","0,0","30","120","95,0","0,1","380","0","22","50,0","0,05","1,0"
"123","Sữa mẹ","61","1,5","3,0","7,0","0,0","0","34","15,0","0.1","15","41","30","90,0","0,01","6,0"
"ĐỒ HỘP","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"124","Thơm hộp","56","0,3","0,0","13,7","0,2","0","20","12,0","0,3","0","0","10","0,0","0,06","14,0"
"125","Đậu phộng chiên","680","25,7","59,5","10,3","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"126","Mứt thơm","208","0,5","0,0","51,5","0,4","0","20","16,0","0,3","0","0","20","0,0","0,09","13,0"
"127","Mứt đu đủ","178","0,4","0,0","44,1","2,0","0","24","30,0","0,0","0","0","0","0,0","0,00","0,0"
"128","Nhãn hộp","62","0,5","0,0","15,0","1,0","0","12","230,0","0,3","0","0","0","0,0","0,00","32,0"
"129","Nước thơm","39","0,3","0,0","9,4","0,4","0","32","12,0","0,3","0","0","0","0,0","0,04","41,0"
"130","Vải hộp","60","0,4","0,0","14,7","1,1","0","8","160,0","0,6","0","0","0","0,0","0,00","10,0"
"131","Cá thu hộp","207","24,8","12,0","0,0","0,0","0","50","260,0","1,6","0","0","0","0,0","0,02","0,0"
"132","Cá trích hộp","233","22,3","14,4","3,5","0,0","52","86","437,0","2,3","0","0","0","28,0","0,02","0,0"
"133","Thịt bò hộp","251","16,4","20,6","0,0","0,0","85","13","250,0","2,9","0","0","0","0,0","0,00","0,0"
"134","Thịt gà hộp","273","17,0","22,8","0,0","0,0","120","108","138,0","2,8","0","0","0","520,0","0,09","0,0"
"135","Thịt heo hộp","344","17,3","29,3","2,7","0,0","60","9","200,0","1,2","0","0","0","0,0","0,19","0,0"
"ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"136","Bánh mì khô","346","12,3","1,3","71,3","0,8","0","39","231,0","2,7","0","0","13","86,0","0,36","0,0"
"137","Bánh in chay","376","3,2","0,3","90,2","0,2","0","2","0,9","0,1","0","0","0","0,0","0,04","0,0"
"138","Bánh sôcôla","449","3,9","17,6","68,8","0,0","0","58","142,0","3,7","0","0","10","13,0","0,04","0,0"
"139","Bánh thỏi sôcôla","543","4,9","30,4","62,5","0,0","172","280","280,0","1,5","0","0","2","0,0","0,03","0,0"
"140","Bánh men","369","9,6","3,7","74,2","0,2","0","76","140,4","3,9","0","0","105","17,0","0,15","0,0"
"141","Đường cát trắng","397","0,0","0,0","99,3","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"142","Kẹo cà phê","378","0,0","1,3","91,5","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"143","Kẹo dừa mềm","415","0,6","12,2","75,6","2,5","0","16","6,6","0,4","0","0","0","0,0","0,00","0,0"
"144","Kẹo đậu phộng","449","10,3","16,5","64,8","2,2","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"145","Kẹo ngậm bạc hà","268","5,2","0,0","61,9","0,0","0","96","18,0","1,6","0","0","0","0,0","0,00","0,0"
"146","Kẹo sôcôla","388","1,6","4,6","85,1","1,2","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"147","Kẹo sữa","390","2,9","5,2","93,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"148","Mật ong","327","0,4","0,0","81,3","0,0","0","5","16,0","0,9","0","0","0","0,0","0,00","4,0"
"GIA VỊ, NƯỚC CHẤM","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"149","Cari bột","283","8,2","7,3","46,0","8,9","0","906","421,0","0,0","0","0","380","0,0","0,03","0,0"
"150","Gừng tươi","25","0,4","0,0","5,8","3,3","0","60","8,0","2,5","7","316","0","0,0","0,04","5,3"
"151","Muối","0","0,0","0,0","0,0","0,0","0","150","70,0","0,8","39 g","0","0","0,0","0,00","0,0"
"152","Nghệ khô","360","6,3","5,1","72,1","0,0","0","146","284,0","18,6","0","0","10","0,0","0,03","0,0"
"153","Nghệ tươi","22","0,3","0,0","5,2","6,1","0","12","22,0","0,0","0","0","0","0,0","0,00","7,0"
"154","Mắm tôm đặc","73","14,8","1,5","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"155","Tôm chua","68","8,7","1,2","5,5","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"156","Nước mắm","28","7,1","0,0","0,0","0,0","0","387","246,7","2,7","4926","0","0","0,0","0,03","0,0"
"157","Tương ớt","37","0,5","0,5","7,6","0,9","0","36","24,0","0,0","0","0","0","0,0","0,00","0,0"
"158","Xì dầu","28","7,0","0,0","0,0","0,0","0","59","100,0","4,9","0","0","0","0,0","0,05","0,0"
"NƯỚC GIẢI KHÁT","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"159","Bia","43","0,5","0,0","2,3","0,0","0","6","26,0","0,1","0","0","0","0,0","0,01","0,0"
"160","CocaCola","42","0,0","0,0","10,4","0,0","0","8","15,0","0,0","0","0","0","0,0","0,00","0,0"
"161","Rượu nếp","202","4,0","0,0","37,7","0,2","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"162","Rượu trắng","273","0,0","0,0","0,0","0,0","0","0","0,0","0,0","0","0","0","0,0","0,00","0,0"
"","","","","","","","","","Nguồn: Bảng thành phần dinh dưỡng thức ăn Việt Nam","","","","","","",""
